doy,pond,treatment,period,tp,tn,srp,no3
115,A,No,pre,50.05,2.78,2.15,0.05
115,B,High,pre,33.25,2.50,3.00,0.07
115,C,Low,pre,45.65,2.25,2.40,0.05
115,D,No,pre,53.30,2.46,6.20,0.05
115,E,Low,pre,52.20,9.32,3.45,0.05
115,F,High,pre,45.50,2.30,3.25,0.05
118,A,No,pre,22.80,1.48,2.05,0.05
118,B,High,pre,24.60,1.92,0.10,0.06
118,C,Low,pre,23.30,1.27,8.15,0.05
118,D,No,pre,23.25,3.40,2.75,0.05
118,E,Low,pre,23.15,8.53,6.80,0.05
118,F,High,pre,40.35,2.08,9.70,0.06
121,A,No,pre,38.95,7.07,6.70,0.05
121,B,High,pre,36.35,8.95,0.10,0.06
121,C,Low,pre,30.55,11.27,7.00,0.05
121,D,No,pre,19.55,12.32,7.15,0.05
121,E,Low,pre,31.15,10.95,7.25,0.05
121,F,High,pre,32.80,9.27,7.70,0.06
123,A,No,pre,21.85,13.34,7.15,0.04
123,B,High,pre,43.60,6.76,6.10,0.05
123,C,Low,pre,38.00,7.68,6.10,0.04
123,D,No,pre,21.35,10.66,6.65,0.04
123,E,Low,pre,65.90,6.34,8.40,0.04
123,F,High,pre,69.55,14.15,7.65,0.04
125,A,No,add1,38.75,9.09,6.40,0.05
125,B,High,add1,33.75,13.62,6.25,0.06
125,C,Low,add1,35.15,12.98,6.85,0.05
125,D,No,add1,37.50,9.36,3.10,0.05
125,E,Low,add1,46.05,13.42,0.10,0.05
125,F,High,add1,27.60,7.89,0.10,0.05
127,A,No,add1,14.65,13.30,0.10,0.05
127,B,High,add1,28.55,11.72,0.10,0.04
127,C,Low,add1,26.15,13.60,0.10,0.05
127,D,No,add1,31.45,13.97,4.45,0.04
127,E,Low,add1,42.85,13.08,1.25,0.06
127,F,High,add1,28.00,13.78,0.10,0.06
129,A,No,add2,55.75,2.79,0.10,0.05
129,B,High,add2,40.85,14.66,0.10,0.05
129,C,Low,add2,31.55,9.80,0.10,0.05
129,D,No,add2,33.15,8.04,0.10,0.05
129,E,Low,add2,39.35,8.37,2.30,0.05
129,F,High,add2,40.05,15.16,0.10,0.02
131,A,No,add2,34.70,8.87,0.10,0.05
131,B,High,add2,42.40,15.03,0.10,0.06
131,C,Low,add2,27.60,9.39,0.10,0.05
131,D,No,add2,30.65,14.49,0.10,0.04
131,E,Low,add2,29.30,9.30,0.10,0.05
131,F,High,add2,32.75,8.60,0.10,0.05
133,A,No,add2,26.45,15.06,4.67,0.02
133,B,High,add2,25.92,13.10,2.28,0.03
133,C,Low,add2,20.20,12.74,2.16,0.03
133,D,No,add2,29.88,4.55,2.29,0.02
133,E,Low,add2,30.71,2.82,3.49,0.02
133,F,High,add2,20.78,2.75,2.21,0.02
135,A,No,add2,61.03,6.43,2.85,0.03
135,B,High,add2,38.78,12.08,4.19,0.02
135,C,Low,add2,26.82,6.38,3.95,0.01
135,D,No,add2,24.86,12.95,1.95,0.02
135,E,Low,add2,28.82,13.89,3.69,0.03
135,F,High,add2,22.79,15.39,3.02,0.03
137,A,No,add2,46.70,14.04,3.62,0.07
137,B,High,add2,65.69,2.92,3.94,0.03
137,C,Low,add2,42.10,14.34,2.98,0.04
137,D,No,add2,36.22,11.54,2.61,0.04
137,E,Low,add2,27.80,13.09,2.10,0.04
137,F,High,add2,34.80,9.80,2.92,0.03
140,A,No,add2,35.02,14.46,5.09,0.04
140,B,High,add2,33.74,5.87,3.72,0.09
140,C,Low,add2,26.24,12.78,3.60,0.03
140,D,No,add2,27.77,4.30,3.68,0.03
140,E,Low,add2,23.81,10.34,3.16,0.03
140,F,High,add2,33.18,12.05,3.71,0.03
142,A,No,add2,40.18,14.32,6.68,0.03
142,B,High,add2,39.42,10.95,4.61,0.03
142,C,Low,add2,31.58,3.13,5.08,0.03
142,D,No,add2,43.37,12.33,5.31,0.02
142,E,Low,add2,26.80,12.97,6.37,0.03
142,F,High,add2,30.29,4.06,3.37,0.03
144,A,No,add2,47.24,13.52,6.59,0.03
144,B,High,add2,48.75,9.30,9.13,0.01
144,C,Low,add2,42.43,7.69,8.43,0.02
144,D,No,add2,50.56,27.98,3.78,0.01
144,E,Low,add2,29.59,2.02,8.44,0.03
144,F,High,add2,30.33,13.44,4.08,0.02
147,A,No,add2,16.39,16.14,4.05,0.03
147,B,High,add2,31.56,13.31,5.76,0.02
147,C,Low,add2,19.13,13.98,4.77,0.03
147,D,No,add2,20.74,8.60,3.56,0.03
147,E,Low,add2,17.48,12.27,2.51,0.02
147,F,High,add2,30.10,12.21,2.47,0.02
149,A,No,add2,20.59,11.84,3.06,0.03
149,B,High,add2,29.45,3.20,6.16,0.01
149,C,Low,add2,28.88,9.88,1.74,0.01
149,D,No,add2,23.53,18.71,3.16,0.01
149,E,Low,add2,24.45,3.37,1.39,0.01
149,F,High,add2,48.33,9.95,5.28,0.01
